chapter,question_type,question,options,answer
0,Single Choice,党的二十大明确提出习近平新时代中国特色社会主义思想的世界观、方法论和贯彻其中的立场观点方法，概况为()。,A. 五个必由之路;B. 六个必须坚持;C. 四个全面;D. 五位一体,B
0,Single Choice,习近平新时代中国特色社会主义思想创立的国际背景是()。,A. 党的自我革命新的境界;B. 中华民族伟大复兴的战略全局;C. 中国式现代化全面推进;D. 世界百年未有的大变局,D
0,Single Choice,在党的第一个百年目标全面建成小康社会实现之后，我们开启( )。,A. 实现全体人民共同富裕的时代;B. 全面建设社会主义现代化国家新征程;C. 进入中国特色社会主义新时代;D. 实现中华民族伟大复兴,B
0,Single Choice,建设中国特色社会主义法治体系、建设社会主义法治国家是全面依法治国的()。,A. 总抓手;B. 总要求;C. 总目标;D. 总任务,C
0,Single Choice,党的十九大明确指出，我国社会主要矛盾已经转化为( )。,A. 人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾;B. 人民对于建设先进的工业国的要求同落后的农业国的现实之间的矛盾;C. 人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾;D. 人民日益增长的物质文化需要同落后的社会生产之间的矛盾,A
0,Single Choice,中国共产党的根本宗旨是( )。,A. 实现中华民族伟大复兴;B. 全心全意为人民服务;C. 维护国家统一及社会和谐稳定;D. 统筹经济社会等各方面发展,B
0,Single Choice,中国特色社会主义最本质的特征是()。,A. 党的领导;B. 政治协商;C. 依法治国;D. 以德治国,A
0,Single Choice,( )把习近平新时代中国特色社会主义思想确立为党必须长期坚持的指导思想写入了党章，实现了党的指导思想的与时俱进。,A. 十八大;B. 十九大;C. 十九届六中全会;D. 十八届四中全会,B
0,Single Choice,习近平同志为核心的党中央团结带领全党全国各族人民，以坚如磐石的战略定力、开拓创新的进取精神，推进党和国家事业取得举世瞩目的伟大成就，开创了中国特色社会主义()。,A. 新时代;B. 新境界;C. 新时期;D. 新阶段,A
0,Single Choice,实现社会主义现代化和中华民族伟大复兴，是坚持和发展中国特色社会主义的()。,A. 总布局;B. 总任务;C. 总依据;D. 总路线,B
0,Single Choice,新时代经过全党的共同努力，我们党找到了跳出治乱兴衰历史周期率的第二个答案，内容是(),A. 社会主义核心价值观;B. 党的自我革命;C. 人民民主;D. 社会主义法治,B
0,Single Choice,习近平新时代中国特色社会主义思想内涵十分丰富，其中主体内容为()。,A. “四个全面”;B. “五位一体”;C. “十个明确”;D. “十四个坚持”,C
