4,Single Choice,( )是中国共产党的根本政治立场，是马克思主义政党区别于其他政党的显著标志。,A. 人民立场;B. 历史唯物主义;C. 英雄;D. 辩证唯物主义,A
4,Single Choice,共同富裕是一个长远目标，需要一个过程，不可能一蹴而就，到本世纪中叶()。,A. 全体人民共同富裕迈出坚实步伐;B. 全体人民共同富裕基本实现;C. 全体人民共同富裕全面实现;D. 全体人民共同富裕取得更为明显的实质性进展,B
4,Multiple Choice,坚持以人民为中心的发展思想，就要在高质量发展中促进共同富裕，做到发展( )、发展( )、发展( )。,A. 成果由人民共享;B. 为了人民;C. 依靠人民;D. 服务人民,ABC
4,Multiple Choice,中国共产党()在人民、()在人民、()在人民。,A. 力量;B. 血脉;C. 立场;D. 根基,ABD
5,Single Choice,(  )是经济社会发展的强大动力。,A. 稳定;B. 发展;C. 改革;D. 开放,C
5,Single Choice,全面深化改革的出发点和落脚点是(  )。,A. 进一步解放和增强社会活力;B. 促进社会公平正义、增进人民福祉;C. 进一步完善社会主义制度;D. 进一步解放和发展社会生产力,B
5,Single Choice,全面深化改革必须始终站稳(  )立场，坚持以(  )为中心的改革价值取向。,A. 质量;B. 制度;C. 发展;D. 人民,D
5,Single Choice,(  )会议对新时代全面深化改革勾勒出更加清晰的顶层设计。,A. 十九届六中全会;B. 十九届五中全会;C. 十九届四中全会;D. 十九届三中全会,C
5,Single Choice,(  )是解决一切经济社会问题的关键。,A. 改革;B. 开放;C. 稳定;D. 发展,D
5,Single Choice,全面深化改革总目标是一个内涵丰富的有机整体，其中(  )规定了在根本方向指引下完善和发展中国特色社会主义制度的鲜明指向。,A. 完善和发展中国特色社会主义制度;B. 推动各方面制度更加成熟更加定型;C. 推进国家治理体系和治理能力现代化;D. 发挥中国特色社会主义制度的优越性,C
5,Single Choice,(  )是运用国家制度管理国家各方面事务的能力。,A. 治理体系;B. 管理能力;C. 协调能力;D. 治理能力,D
5,Multiple Choice,改革开放要坚守政治原则和底线，不是改弦易张。这里面最核心的是( )、( )，偏离了这一条，那就南辕北辙了。,A. 坚持和改善党的领导;B. 建成社会主义现代化国家;C. 坚持和改善人民代表大会制度;D. 坚持和完善中国特色社会主义制度,AD
5,Multiple Choice,关于全面深化改革总目标，下列说法正确的是( )。,A. 完善和发展中国特色社会主义制度，明确了改革的鲜明指向和时代要求;B. 推进国家治理体系和治理能力现代化，明确了改革的鲜明指向和时代要求;C. 完善和发展中国特色社会主义制度，规定了改革的根本方向;D. 推进国家治理体系和治理能力现代化，规定了改革的根本方向,BC
6,Single Choice,()是实现高质量发展的指导原则。,A. 供给侧结构性改革;B. 新发展理念;C. 新发展方位;D. 新发展阶段,B
6,Single Choice,()是新时代我国发展壮大的必由之路。,A. 坚持党的全面领导;B. 贯彻新发展理念;C. 团结奋斗;D. 中国特色社会主义,B
6,Multiple Choice,高质量发展关系我国社会主义现代化建设全局，具有重大战略意义，包括()。,A. 高质量发展为全面建设社会主义现代化国家提供更为坚实的物质基础;B. 高质量发展是全面建成小康社会的必由之路;C. 高质量发展是维护国家长治久安的必然要求;D. 高质量发展是不断满足人民对美好生活需要的重要保证,ACD
6,Single Choice,全面建成小康社会、实现第一个百年奋斗目标之后，我们要乘势而上开启全面建设社会主义现代化国家新征程、向第二个百年奋斗目标进军，这标志着我国进入了一个()。,A. 新发展方位;B. 新发展阶段;C. 新发展时期;D. 新发展格局,B
6,Multiple Choice,新发展阶段是()。,A. 我国社会主义初级阶段历史进程中的一个重要阶段;B. 全面建成小康社会、实现第一个百年奋斗目标的重要阶段;C. 中国共产党带领人民迎来从站起来、富起来到强起来历史性跨越的新阶段;D. 全面建设社会主义现代化国家、向第二个百年奋斗目标进军的重要阶段,ACD
6,Single Choice,党的十八大以来，我国经济已由高速增长阶段转向()阶段。,A. 高质量发展;B. 强动力转换;C. 世界级市场;D. 高水平开放,A
6,Single Choice,()的发展理念，相互融通、相互促进，是具有内在联系的集合体，要统一贯彻，不能顾此失彼，也不能相互替代。,A. 改革、和谐、绿色、开放、共享;B. 创新、协调、绿色、开放、共享;C. 创新、协调、和谐、开放、共享;D. 创新、和谐、绿色、开放、发展,B
6,Single Choice,()是引领发展的第一动力。,A. 科技;B. 劳动力;C. 资本;D. 创新,D
